,value,bankier_time,server_time
0,2.0,2,
1,3.0,3,
2,4.0,4,
3,287.8,Thu Apr  2 17:01:59 2020,Thu Apr  2 19:59:06 2020
4,287.8,Thu Apr  2 17:01:59 2020,Thu Apr  2 19:59:09 2020
5,287.8,Thu Apr  2 17:01:59 2020,Thu Apr  2 19:59:12 2020
6,287.8,Thu Apr  2 17:01:59 2020,Thu Apr  2 19:59:15 2020
7,287.8,Thu Apr  2 17:01:59 2020,Thu Apr  2 19:59:18 2020
8,287.8,Thu Apr  2 17:01:59 2020,Thu Apr  2 19:59:21 2020
